SL NO,From Date,PM2.5,PM10,NO,NO2,Nox,NH3,SO2,CO,Ozone,Benzene,Eth-Benzene,MP-Xylene,WS,WD,SR,BP,AT,RF
10491,17-05-2020 23:00,42,100,24.35,29.16,33.39,5.07,14.91,0.68,16.72,0,None,None,0.47,118.26,None,997.55,23.99,0
10492,18-05-2020 00:00,42.39,75.73,24.33,28.7,32.09,4.03,14.86,0.57,17.51,0,None,None,0.42,119.63,None,996.75,23.47,0
10493,18-05-2020 01:00,34.59,76.91,38.06,27.95,42,4.16,15.12,0.54,16.6,0,None,None,0.71,90.01,None,996.48,23.25,0
10494,18-05-2020 02:00,30.8,68.75,20.15,20.43,24.99,4.13,15.15,0.46,16.06,0,None,None,0.85,78.91,None,996.14,22.99,0
10495,18-05-2020 03:00,24.58,73.75,21.53,24.35,27.98,3.93,15.17,0.44,16.59,0,None,None,1.18,113.96,8.5,930.28,21.34,0.26
10496,18-05-2020 04:00,26.6,69.38,24.35,27.62,31.65,3.93,15.15,0.46,16.98,0,None,None,0.47,102.02,7.8,946.52,21.78,0
10497,18-05-2020 05:00,28.55,50.39,11.79,20.16,18.59,3.46,15.06,0.46,17.44,0,None,None,0.43,130.17,58.23,996.64,23.79,0
10498,18-05-2020 06:00,30.48,63.68,4.67,14.06,10.37,3.47,14.66,0.44,22.68,0,None,None,0.79,81.34,188.31,997.23,25.85,0
10499,18-05-2020 07:00,24.88,46.88,2.87,6.71,5.41,3.11,14.69,0.42,25,0,None,None,0.92,113.87,346.69,997.57,27.1,0
10500,18-05-2020 08:00,23.27,38.55,1.39,4.93,3.4,2.21,14.29,0.41,30.31,0,None,None,2.45,84.92,433.94,972.95,26.6,0.29
10501,18-05-2020 09:00,23.55,36.16,0.76,4.05,2.56,2.35,14.2,0.4,34.22,0,None,None,2.57,108.62,588.54,975.12,27.27,0
10502,18-05-2020 10:00,25.95,34.52,0.76,4.14,2.56,1.77,14.34,0.36,43.72,0,None,None,2.19,108.52,715.08,966.92,28,0.24
10503,18-05-2020 11:00,19.45,31.5,0.82,4.92,3,1.16,14.39,0.36,51.92,0,None,None,1.93,128.67,785.83,996.53,30.46,0
10504,18-05-2020 12:00,15.7,33.15,0.45,4.73,2.63,1.26,14.23,0.36,50.26,0,None,None,1.63,140.25,346,928.31,27.88,0.65
10505,18-05-2020 13:00,14.3,33.9,0.46,4.09,2.33,1.37,14.45,0.34,52.17,0,None,None,1.14,160.61,568.51,994.73,31.56,0
10506,18-05-2020 14:00,16.16,38.28,0.47,4,2.28,1.76,14.28,0.34,40.24,0,None,None,0.88,155.71,525.36,993.87,32.71,0
10507,18-05-2020 15:00,16.73,35.65,0.38,4.9,2.68,1.87,14.16,0.33,44.28,0,None,None,1.77,120.61,333.46,968.38,32.16,0.29
10508,18-05-2020 16:00,17.43,42.03,0.34,4.39,2.37,1.96,14.1,0.35,45.27,0,None,None,1.29,160.96,161.39,992.91,31.96,0
10509,18-05-2020 17:00,20.32,45.73,0.37,7.6,3.98,2.06,14.13,0.42,46.04,0,None,None,0.9,128.8,31.32,992.97,30.8,0
10510,18-05-2020 18:00,32.45,63.84,0.41,13.89,7.05,2.89,14.45,0.62,37.92,0,None,None,0.58,184.75,1.64,957.94,28.33,0
10511,18-05-2020 19:00,51.45,83.92,4.8,43.11,24.52,6.75,14.55,0.83,23.87,0,None,None,0.39,192.28,7.73,971.76,27.88,0.26
10512,18-05-2020 20:00,70.35,114.3,35.98,62.1,57.14,10.52,14.96,1.14,16.21,0,None,None,0.41,116.86,None,995.36,27.71,0
10513,18-05-2020 21:00,99,173,42.55,53.47,57.76,9.38,15.17,1.06,17,0,None,None,0.39,122.28,None,996,27.06,0
10514,18-05-2020 22:00,86,151.67,41.39,48.82,54.65,7.88,14.9,0.91,17,0,None,None,0.76,84.12,None,996.32,26.58,0
10515,18-05-2020 23:00,61,115,35.9,38.85,46.12,7.07,14.81,0.82,16.24,0,None,None,0.56,77.88,None,996.16,26.34,0
10516,19-05-2020 00:00,48.23,108.7,37.21,38.56,46.34,5.74,15.04,0.76,17.39,0,None,None,0.62,83,7.73,972.73,25.43,0.26
10517,19-05-2020 01:00,49.67,80.92,28.94,41.5,41.77,4.72,14.82,0.7,15.9,0,None,None,0.52,102.02,None,994.9,25.55,0
10518,19-05-2020 02:00,47.6,81.5,61.89,48.8,70.04,4.97,15.43,0.66,16.34,0,None,None,0.72,93.21,10.62,963.68,24.5,0.36
10519,19-05-2020 03:00,52,88.03,48.18,34.56,52.75,7.08,15.39,0.65,15.39,0,None,None,0.55,77.27,None,953.16,23.95,0
10520,19-05-2020 04:00,58.4,113,25.3,26.66,31.89,6.79,15.21,0.59,16.9,0,None,None,0.3,172.23,4.5,995.04,25.02,0
10521,19-05-2020 05:00,59.27,89.68,22.95,24.92,29.24,6.53,15.25,0.6,16.61,0,None,None,0.56,91.81,49.92,995.33,25.56,0
10522,19-05-2020 06:00,60.53,92.34,14.89,32.24,26.82,6.37,15.03,0.57,23.37,0,None,None,1.76,143.39,175.13,964.82,26.87,0
10523,19-05-2020 07:00,54.2,106.38,5.39,9.95,8.9,4.74,14.63,0.53,27.62,0,None,None,1.1,129.04,335.09,996.33,28.34,0
10524,19-05-2020 08:00,43.7,67.4,1.11,5.65,3.6,3.88,14.22,0.49,34.85,0,None,None,1.15,155.09,376.65,996.53,29.35,0
10525,19-05-2020 09:00,40.75,66.12,1.31,7.31,4.53,3.41,14.1,0.45,38.87,0,None,None,1.46,122.1,519.29,996.51,30.48,0
10526,19-05-2020 10:00,31.86,52,0.66,5.57,3.21,3.49,14.12,0.43,45.49,0,None,None,1.87,127.8,511.43,996.16,30.9,0
10527,19-05-2020 11:00,31.86,51.32,1.03,6.88,4.15,4.2,14.32,0.47,49.71,0,None,None,2.41,101.81,398.33,995.67,28.9,0.86
10528,19-05-2020 12:00,38.32,62.59,0.56,6.06,3.36,5.85,14.31,0.51,53.52,0,None,None,1.52,134.06,377.29,994.79,31.5,0
10529,19-05-2020 13:00,32.11,69.57,0.49,5.17,2.93,5.89,14.51,0.48,55.09,0,None,None,1.09,117.87,411.56,994,32.36,0
10530,19-05-2020 14:00,29.05,64.31,0.39,5.15,2.81,5.51,14.46,0.65,51.95,0,None,None,1.02,102.95,253.24,972.58,31.58,0.24
10531,19-05-2020 15:00,29.75,60.22,0.4,6.67,3.53,4.44,14.35,1.76,49.91,0,None,None,0.93,125.41,110.24,992.77,31.17,0
10532,19-05-2020 16:00,35.73,59.64,0.32,8.91,4.58,4.1,14.39,2.36,46.63,0,None,None,1.81,142.01,34.67,970.18,29.85,0.5
10533,19-05-2020 17:00,36.5,67.83,0.52,12.31,6.37,4.17,14.48,2.62,42.02,0,None,None,0.6,166.23,4.35,993.2,29.87,0
10534,19-05-2020 18:00,49.91,96.3,1.03,14.57,7.84,4.08,14.68,2.69,38.83,0,None,None,0.45,185.52,None,993.63,29.29,0
10535,19-05-2020 19:00,58.5,98.25,1.84,33.36,17.62,4.3,14.74,2.92,26.03,0,None,None,1.31,231.38,11.12,963.28,27.86,0.36
10536,19-05-2020 20:00,77.92,136.38,2.49,26.44,14.71,5.83,14.66,2.61,24.57,0,None,None,0.39,205.76,None,994.92,28.48,0
10537,19-05-2020 21:00,70.56,113.33,7.69,27.46,19.16,8.73,14.75,2.52,20.97,0,None,None,0.48,173.8,None,995.03,28.02,0
10538,19-05-2020 22:00,80.57,123.64,0.53,9.45,4.98,7.85,14.51,2,25.99,0,None,None,0.5,188.68,0.96,974.32,27.15,0
10539,19-05-2020 23:00,49,81,0.46,7.7,4.07,7.07,14.53,1.73,24.48,0,None,None,0.56,154.06,None,995.29,27.3,0
10540,20-05-2020 00:00,50,76.64,0.44,7.54,4.03,4.74,14.35,1.37,23.08,0,None,None,0.34,149.34,None,994.36,25.23,0
10541,20-05-2020 01:00,49.34,74,1,13.12,7.12,4.07,14.31,1.19,21.55,0,None,None,0.37,150.56,None,993.52,26.69,0
10542,20-05-2020 02:00,50.64,74,0.75,13,6.89,3.82,14.35,0.99,23.1,0,None,None,0.56,86.41,None,993.22,26.79,0
10543,20-05-2020 03:00,44.38,69.3,3.36,12.98,8.82,3.82,14.69,0.91,21.42,0,None,None,1.64,76.36,8.9,968.19,25.83,0.29
10544,20-05-2020 04:00,40,64,1.62,14.66,8.34,6.4,14.69,0.86,18.71,0,None,None,2.24,86.95,9.39,940.94,24.97,0.61
10545,20-05-2020 05:00,70.4,74.6,7.38,21.45,15.95,11.55,14.76,0.85,18.28,0,None,None,0.86,81.73,24.87,993.77,26.59,0
10546,20-05-2020 06:00,52.41,84.61,12.48,24.61,21.29,10.87,14.8,0.84,19.73,0,None,None,0.59,151.19,94.77,994.25,27.64,0
10547,20-05-2020 07:00,52.36,89.08,0.99,6.68,4,8.37,14.36,0.74,23.02,0,None,None,1.32,191.79,55.91,972.91,27.11,1.14
10548,20-05-2020 08:00,46.09,66.16,0.87,6.42,3.78,6.23,14.1,0.71,25.11,0,None,None,0.61,176.82,141.57,996.76,27.74,0
10549,20-05-2020 09:00,50.78,78.19,0.82,7.27,4.17,5.21,14.08,0.62,27.91,0,None,None,0.7,210.94,219.74,996.38,28.62,0
10550,20-05-2020 10:00,45.93,65.59,0.7,6.49,3.69,5.58,14.11,0.65,30.2,0,None,None,0.66,228.81,172.35,954.42,27.43,0
10551,20-05-2020 11:00,49.4,67.05,1.22,7.1,4.38,12.85,14.43,0.57,30.24,0,None,None,1.17,180.57,340.43,995.18,29.58,0
10552,20-05-2020 12:00,56.7,84.03,2.18,14.53,8.72,16.5,14.24,0.49,33.08,0,None,None,1.42,135.82,241.73,973.98,29.33,0
10553,20-05-2020 13:00,21.45,43.39,1.81,10.86,6.64,13.73,14.31,0.47,32.5,0,None,None,0.82,229.02,112.57,994.17,29.11,0
10554,20-05-2020 14:00,18.18,32.98,1.03,8.5,4.93,15.88,14.4,0.47,32.77,0,None,None,0.85,149.13,75.06,994.34,27.77,0
10555,20-05-2020 15:00,21.52,42.38,0.66,8.57,4.71,13.6,14.21,0.45,31.5,0,None,None,0.74,110.62,151.33,994.18,27.75,0
10556,20-05-2020 16:00,17.15,38.62,0.56,6.75,3.7,11.17,14.24,0.43,34.45,0,None,None,0.86,93.17,68.09,993.69,27.52,0
10557,20-05-2020 17:00,27.55,43.78,2.3,10.94,7.02,9.73,14.15,0.53,31.84,0,None,None,0.92,106.16,10.21,949.05,25.79,0.76
10558,20-05-2020 18:00,33.25,48.89,0.71,17.13,8.84,9.54,14.14,0.58,27.2,0,None,None,0.71,101.58,None,994.45,26.61,0
10559,20-05-2020 19:00,46.91,72.09,0.97,23.47,12.16,12.87,14.47,0.76,22.46,0,None,None,0.71,105.68,None,995.05,26.39,0
10560,20-05-2020 20:00,74.88,108.41,2.1,26.09,14.27,16.12,14.7,0.52,24.18,0,None,None,1.42,77.78,6.17,974.75,26.11,0.24
10561,20-05-2020 21:00,30.05,57.7,2.11,15.28,9,12.78,14.71,0.44,32.89,0,None,None,1.88,86.99,None,995.53,26.31,0
10562,20-05-2020 22:00,18.54,39.57,1.23,11.71,6.65,10.68,14.76,0.41,27.05,0,None,None,0.86,105.79,1.64,959.99,23.24,0
10563,20-05-2020 23:00,21,34,2.81,14.96,8.81,10.11,14.71,0.4,21.89,0,None,None,0.84,173.63,1.64,959.95,22.37,0
10564,21-05-2020 00:00,20.82,28.61,1.92,13.93,7.69,8.94,14.66,0.38,20.54,0,None,None,0.7,97.4,None,995.41,22.64,0
10565,21-05-2020 01:00,13.96,31.43,3.4,18.79,11.71,8.42,14.37,0.35,21.06,0,None,None,1.23,88.08,None,994.85,22.66,0
10566,21-05-2020 02:00,17.97,38.19,1.11,8.03,4.7,7.85,14.37,0.29,25.33,0,None,None,1.95,79.29,1.92,953.02,21.01,0
10567,21-05-2020 03:00,13.75,21.62,0.79,4.36,2.72,7.18,14.58,0.25,30.72,0,None,None,1.96,88.55,None,994.09,21.69,0
10568,21-05-2020 04:00,11.11,12.11,0.94,9.43,5.28,6.46,14.62,0.26,23.61,0,None,None,2.06,79.53,7.5,944.86,20.6,0.57
10569,21-05-2020 05:00,12.54,16.2,1.14,11.31,6.36,6.23,14.74,0.26,24.78,0,None,None,1.87,86.05,7.38,971.89,21.25,0.26
10570,21-05-2020 06:00,14.95,21,3.09,19,11.54,5.33,14.93,0.27,22.22,0,None,None,1.67,88.05,5.92,995.35,21.76,0
10571,21-05-2020 07:00,13.32,20.16,2.34,12.86,8.01,4.86,14.74,0.24,26.2,0,None,None,2.98,89.99,17.68,995.13,21.69,0
10572,21-05-2020 08:00,9.83,20.33,1.25,7.55,4.62,4.43,14.53,0.24,27.05,0,None,None,2.87,87.97,38.74,933.35,20.42,0.72
10573,21-05-2020 09:00,14.03,17.58,1.43,10.51,6.14,3.94,14.5,0.24,28.59,0,None,None,2.65,91.58,42.11,995.74,21.66,0
10574,21-05-2020 10:00,14,15,1.17,9.12,5.3,4.11,14.62,0.24,29.75,0,None,None,3.16,88.7,55.17,995.96,21.76,0
10575,21-05-2020 11:00,8.03,10.62,1.35,10.07,5.91,3.8,14.67,0.23,30.6,0,None,None,3.61,78.2,65.51,972.78,21.65,2.18
10576,21-05-2020 12:00,3.59,7.53,0.8,6.83,3.92,2.97,14.68,0.22,38.58,0,None,None,4.04,88.66,88.83,994.73,22.34,0
10577,21-05-2020 13:00,3,5,0.6,5.32,3,2.93,14.59,0.22,36.49,0,None,None,3.67,86.13,41.02,994.29,22.19,0
10578,21-05-2020 14:00,None,None,0.96,8.49,4.88,2.72,15.07,0.23,33.96,0,None,None,2.96,88.2,31.33,931.93,21.05,1.08
10579,21-05-2020 15:00,3,3.64,1.6,8.45,5.28,3.02,14.77,0.23,30.33,0,None,None,2.89,77.88,24.78,924.93,20.54,1.11
10580,21-05-2020 16:00,2.73,6.57,0.81,7.03,4.04,2.16,14.54,0.23,31.27,0,None,None,2.92,92.31,8.96,994.35,22.11,0
10581,21-05-2020 17:00,1.75,5.65,1.92,15.73,9.11,2.23,14.54,0.27,25.77,0,None,None,2.18,80.28,7.04,924.73,20.69,0.64
10582,21-05-2020 18:00,6.21,14.68,0.74,7.39,4.17,2.08,14.57,0.24,32.24,0,None,None,2.74,89.89,None,995.28,22.45,0
10583,21-05-2020 19:00,9,17.73,0.35,3.74,2.05,2.1,14.8,0.22,30.74,0,None,None,2.73,76.72,None,995.61,22.5,0
10584,21-05-2020 20:00,8.7,9.6,1.38,6.02,3.92,1.94,14.99,0.21,32.09,0,None,None,2.6,74.08,6.91,929.87,21.3,0.48
10585,21-05-2020 21:00,3.55,4.91,0.47,4.28,2.46,1.5,14.96,0.2,34.72,0,None,None,2.91,78.47,None,996.33,22.93,0
10586,21-05-2020 22:00,2.73,3.75,1.24,5.1,3.37,1.7,14.84,0.21,32.7,0,None,None,2.05,93.2,None,996.31,22.92,0
10587,21-05-2020 23:00,None,None,1.11,5.94,3.48,1.78,14.94,0.21,33.59,0,None,None,1.65,109.09,0.96,975.06,22.42,0
10588,22-05-2020 00:00,1.65,9.17,1.76,7.12,4.15,1.25,14.61,0.2,38.44,0,None,None,2.35,95.52,None,995.27,22.83,0
10589,22-05-2020 01:00,None,5.88,0.48,2.54,1.58,1.4,14.65,0.2,40.95,0,None,None,2.63,88.04,6.91,972.22,22.43,0.26
10590,22-05-2020 02:00,None,4.67,0.65,2.85,1.91,1.12,14.47,0.2,43.7,0,None,None,2.57,79.51,9.72,914.3,21.19,0.32
10591,22-05-2020 03:00,None,2.55,0.36,3.98,2.2,1.32,14.76,0.19,44.72,0,None,None,2.47,81.89,None,994.13,23.16,0
10592,22-05-2020 04:00,None,2.18,0.49,2.88,1.74,1.11,15.01,0.2,44.39,0,None,None,2.19,82.93,0.09,994.59,23.23,0
10593,22-05-2020 05:00,None,4,0.78,2.95,2.02,1.26,15.17,0.2,41.64,0,None,None,2.12,95.66,28.68,994.96,23.44,0
10594,22-05-2020 06:00,None,4,0.27,1.69,0.98,0.7,14.85,0.21,43.49,0,None,None,2.25,85.77,56.58,995.6,23.54,0
10595,22-05-2020 07:00,None,4.46,0.75,2.95,2.04,1.12,15.13,0.21,39.45,0,None,None,2.08,78.14,102,996.13,23.84,0
10596,22-05-2020 08:00,2.78,8,0.82,3.57,2.34,1.15,15.02,0.24,34.34,0,None,None,2.45,83.31,167.25,935.95,23.12,0.41
10597,22-05-2020 09:00,4.86,10.97,0.97,4.75,3.01,0.97,14.81,0.27,33.8,0,None,None,2.39,92.22,154.89,996.78,25.28,0
10598,22-05-2020 10:00,4.85,17.15,0.85,6.13,3.64,0.88,14.74,0.29,35.09,0,None,None,1.71,89.64,117.48,969.37,24.67,0
10599,22-05-2020 11:00,3.97,30,1.56,5.7,3.93,1.07,14.94,0.29,40.26,0,None,None,3.12,77.61,186.82,965.46,24.61,0
10600,22-05-2020 12:00,5.29,60.95,0.65,3.81,2.37,0.7,15.02,0.28,44.84,0,None,None,2.78,82.69,171.34,996.05,25.82,0
10601,22-05-2020 13:00,8.3,93.3,1.13,4.33,3,0.54,14.96,0.28,47.22,0,None,None,2.65,104.22,351.03,995.42,26.43,0
10602,22-05-2020 14:00,10.55,161.44,0.81,3.75,2.45,0.69,14.88,0.29,44.75,0,None,None,2.91,84.29,165.5,995.21,25.89,0
10603,22-05-2020 15:00,13.35,138.5,0.76,4.06,2.51,0.82,15,0.28,44.43,0,None,None,2.33,97.43,110.83,970.17,25.01,0.29
10604,22-05-2020 16:00,11.86,81.86,0.6,4.51,2.66,1.14,14.89,0.3,36.69,0,None,None,2.25,86.77,16.43,995.31,25.04,0
10605,22-05-2020 17:00,10.12,92.95,0.34,3.56,1.97,1.14,14.79,0.31,34.16,0,None,None,2.04,84.28,6.38,995.73,24.31,0
10606,22-05-2020 18:00,7.14,49.55,1.03,5.76,3.58,1.09,14.68,0.33,27.81,0,None,None,1.23,79.68,None,996.61,24.09,0
10607,22-05-2020 19:00,8.4,21.2,0.37,4.77,2.61,1.19,14.8,0.31,28.35,0,None,None,0.93,111.1,None,997.44,23.67,0
10608,22-05-2020 20:00,13.2,19.03,0.72,8.03,4.42,1.12,14.71,0.28,34.72,0,None,None,2.22,89.24,1.15,973.04,23.47,0
10609,22-05-2020 21:00,11.83,17.45,0.58,11.93,6.24,1.24,14.67,0.31,30.8,0,None,None,1.08,86.18,None,998.38,24,0
10610,22-05-2020 22:00,16.5,20.86,1.55,13.47,7.74,2.02,14.72,0.35,19.96,0,None,None,0.64,170.57,None,970.51,22.68,0
10611,22-05-2020 23:00,14,25,0.98,4.38,2.87,1.63,14.94,0.3,27.91,0,None,None,1.02,60.12,None,997.82,23.35,0
10612,23-05-2020 00:00,9.95,16.14,0.99,2.7,2.1,1.91,14.66,0.25,27.83,0,None,None,1.34,95.14,None,997.44,23.37,0
10613,23-05-2020 01:00,6.39,16.58,1.21,3.21,2.45,1.63,14.51,0.24,30.34,0,None,None,1.21,87.36,None,997.09,23.01,0
10614,23-05-2020 02:00,4.75,13,0.47,2.19,1.41,1.71,14.59,0.22,28.12,0,None,None,1.28,87.98,None,965.53,21.73,0
10615,23-05-2020 03:00,3.42,11.5,0.22,1.35,0.81,1.4,14.56,0.22,29.08,0,None,None,1.42,88.56,None,996.63,22.38,0
10616,23-05-2020 04:00,6.05,9.11,0.51,3.7,2.2,1.57,14.72,0.22,25.62,0,None,None,0.79,119.32,1.15,972.13,21.77,0
10617,23-05-2020 05:00,None,None,1,12.85,7.01,1.58,14.8,0.26,20.1,0,None,None,0.49,138.19,2.25,997.53,22.38,0
10618,23-05-2020 06:00,10,11,1.48,7.69,4.86,1.47,14.84,0.28,20.13,0,None,None,0.6,175.68,6.26,998.14,22.52,0
10619,23-05-2020 07:00,8.11,13,1.43,6.45,4.19,1.57,14.94,0.32,20.69,0,None,None,0.47,127.05,26.21,970.93,22.07,0.06
10620,23-05-2020 08:00,9,12.5,1.38,11.45,6.62,1.55,14.93,0.39,20.3,0,None,None,0.46,109.17,20.79,999.25,22.93,0
10621,23-05-2020 09:00,9.45,14.38,3.27,7.38,6.02,1.21,14.49,0.35,19.98,0,None,None,0.86,169.85,49.37,999.54,22.9,0
10622,23-05-2020 10:00,10.78,12.3,1.34,4.54,3.21,1.19,14.6,0.33,21.88,0,None,None,0.69,124.14,96.25,999.44,23.26,0
10623,23-05-2020 11:00,6.11,7.55,1.04,4.53,2.99,1.15,14.52,0.35,22.13,0,None,None,0.48,106.2,103.39,971.38,23.15,0
10624,23-05-2020 12:00,2.16,6.47,1.09,6.07,3.74,1.24,14.87,0.41,23.92,0,None,None,0.33,145.71,120.72,998.42,24.7,0
10625,23-05-2020 13:00,3.97,9.33,2.12,8.23,5.61,1.22,15.14,0.44,23.73,0,None,None,0.87,149.98,237.63,969.99,25.12,0
10626,23-05-2020 14:00,9.85,15.85,0.65,3.9,2.41,0.85,14.96,0.35,29.97,0,None,None,1.09,121.57,300.61,996.94,26.28,0
10627,23-05-2020 15:00,9.05,17.86,0.73,3.92,2.46,0.72,14.77,0.36,31.91,0,None,None,1.07,198.94,263.35,996.32,27.2,0
10628,23-05-2020 16:00,12.7,16.85,0.5,3.59,2.14,0.82,14.45,0.35,33.28,0,None,None,1.6,112.67,91.14,968.7,25.6,0.32
10629,23-05-2020 17:00,11.17,24.97,0.43,4.95,2.69,0.92,14.43,0.42,28.32,0,None,None,0.6,111.47,17.8,996.97,25.75,0
10630,23-05-2020 18:00,19.67,35.17,0.58,16.77,8.58,1.42,14.63,0.69,23.77,0,None,None,0.51,104.85,None,997.3,25.2,0
10631,23-05-2020 19:00,33.05,62.3,10.91,27.26,21.43,1.91,14.71,0.87,17.62,0,None,None,0.54,130.36,None,997.79,24.86,0
10632,23-05-2020 20:00,54.45,84.5,1.24,8.63,5.14,1.38,14.82,0.63,20.31,0,None,None,0.78,129.31,None,998.27,24.62,0
10633,23-05-2020 21:00,34,55.5,0.94,4.26,2.78,1,14.88,0.44,21.75,0,None,None,0.82,125.19,None,998.3,23.98,0
10634,23-05-2020 22:00,15.05,23.03,0.42,3.32,1.92,1.09,14.8,0.41,21.84,0,None,None,0.59,116.91,None,998.16,23.62,0
10635,23-05-2020 23:00,8,17,2.39,4.2,3.77,1.27,14.88,0.41,20.43,0,None,None,0.48,133.27,None,997.7,23.59,0
10636,24-05-2020 00:00,9.86,16.92,1.14,3.3,2.5,1.3,14.74,0.36,21.37,0,None,None,0.77,83.03,None,996.99,23.41,0
10637,24-05-2020 01:00,9,16.07,0.8,2.94,2.02,1.26,14.62,0.35,22.44,0,None,None,1.92,82,9.67,968.73,22.49,0.32
10638,24-05-2020 02:00,9.28,12.53,0.33,3.23,1.83,1.03,14.42,0.34,22.98,0,None,None,2.11,75.76,9.67,968.25,22.52,0.32
10639,24-05-2020 03:00,10.72,15.62,1.12,3.04,2.31,1.1,14.34,0.33,22.57,0,None,None,1.28,57.97,None,996.21,23.06,0
10640,24-05-2020 04:00,10.05,13,0.73,2.43,1.71,1.23,14.61,0.32,20.55,0,None,None,0.88,166.76,None,996.85,22.73,0
10641,24-05-2020 05:00,8,12.55,0.77,4.83,2.93,1.05,14.97,0.34,21.34,0,None,None,0.86,151.95,6.71,996.88,22.76,0
10642,24-05-2020 06:00,7.58,11.33,0.83,4.11,2.62,1.21,14.75,0.34,21.25,0,None,None,0.96,80.66,22.38,997.64,22.9,0
10643,24-05-2020 07:00,5,8.75,1.13,4.62,3.09,1.3,14.93,0.37,20.66,0,None,None,1.03,124.53,22.17,971.05,22.41,0.69
10644,24-05-2020 08:00,5.2,8.39,4.54,7.89,7.21,1.46,14.79,0.39,18.69,0,None,None,0.73,114.94,110.28,998.86,23.47,0
10645,24-05-2020 09:00,8.55,16.58,2.71,6.53,5.17,1.32,14.62,0.39,21.65,0,None,None,0.93,139.44,241.25,973.86,23.94,0
10646,24-05-2020 10:00,11.25,13.75,0.87,3.44,2.3,1.19,14.7,0.37,25.1,0,None,None,1.12,93.19,308.54,998.47,25.3,0
10647,24-05-2020 11:00,9.6,12.5,0.56,3.23,1.99,0.95,14.47,0.35,29.85,0,None,None,1.55,95.33,196.74,998.37,25.49,0
10648,24-05-2020 12:00,12.72,17.11,0.68,3.25,2.1,1.06,14.65,0.36,31.47,0,None,None,1.37,99.11,273.06,997.45,26.24,0
10649,24-05-2020 13:00,11.15,22.78,0.43,2.93,1.76,0.87,14.62,0.37,35.05,0,None,None,1.28,78.94,203.2,965.47,25.84,0
10650,24-05-2020 14:00,12.28,18.47,1.07,5.43,3.43,0.94,14.73,0.4,32.24,0,None,None,0.68,111.98,61.02,995.99,26.34,0
10651,24-05-2020 15:00,14.39,20.67,0.96,5.72,3.5,1.48,14.92,0.42,22.91,0,None,None,1.69,195.85,28.88,995.88,25.12,0
10652,24-05-2020 16:00,19.61,31.17,1.06,4.41,2.96,1.54,15.21,0.39,25.05,0,None,None,2.04,158.56,44.89,942.12,22.33,0.61
10653,24-05-2020 17:00,10.42,16.3,0.8,6.23,3.62,1.55,14.88,0.46,25.22,0,None,None,0.63,192.77,7.44,994.99,23.48,0
10654,24-05-2020 18:00,12.22,19.3,4.14,19.93,12.79,1.62,14.69,0.72,19.44,0,None,None,0.45,162,None,995.39,23.37,0
10655,24-05-2020 19:00,32.55,46.22,2.59,9.12,6.37,1.73,14.65,0.58,19.01,0,None,None,1.74,271.67,None,996.7,23.25,0
10656,24-05-2020 20:00,25.22,43.83,0.6,6.18,3.45,1.89,14.73,0.43,25.11,0,None,None,1.17,109.38,None,996.64,22.55,0
10657,24-05-2020 21:00,8.28,17.72,1.24,11.52,6.5,1.74,15.12,0.45,20.82,0,None,None,0.84,147.88,1.15,972,21.9,0
10658,24-05-2020 22:00,10.6,17.25,6.6,22.97,16.14,1.82,15.27,0.46,19.02,0,None,None,0.73,123.62,None,996.54,22.54,0
10659,24-05-2020 23:00,14,27,1.43,14.44,8.12,1.94,14.96,0.49,18.55,0,None,None,0.46,115.65,None,996.21,22.61,0
10660,25-05-2020 00:00,15.82,29.25,2.95,12.81,8.73,1.94,14.99,0.44,20.04,0,None,None,0.66,107.73,None,995.71,22.54,0
10661,25-05-2020 01:00,11.15,30.9,10.73,21.87,18.66,2.02,14.87,0.43,17.09,0,None,None,0.51,152.6,None,995.93,22.55,0
10662,25-05-2020 02:00,12,30.83,12.33,18.29,18.09,1.72,14.62,0.42,17.55,0,None,None,0.62,175.63,None,995.64,22.59,0
10663,25-05-2020 03:00,17,35.86,2.11,9.14,6.05,1.72,14.66,0.4,18.16,0,None,None,0.48,138.3,None,968.43,21.88,0
10664,25-05-2020 04:00,18.14,34.55,3.42,10.12,7.48,1.71,14.72,0.41,18.9,0,None,None,0.78,121.53,None,996,22.49,0
10665,25-05-2020 05:00,18,33.25,2.16,7.59,5.23,1.92,14.87,0.4,18.06,0,None,None,0.45,145.89,4.75,995.91,22.52,0
10666,25-05-2020 06:00,15.9,37.9,3.07,7.4,5.85,2.13,15.05,0.43,18.38,0,None,None,2.16,189.85,32.81,917.37,21.05,1.72
10667,25-05-2020 07:00,21.53,30.25,3.55,7.48,6.34,1.76,14.9,0.49,17.87,0,None,None,1.54,166.18,101,966.95,22.81,0.36
10668,25-05-2020 08:00,28.7,38.12,2.03,6.29,4.58,1.93,14.81,0.5,20.15,0,None,None,0.55,166.17,39.27,999,23.62,0
10669,25-05-2020 09:00,26.43,38.28,2.02,5.88,4.34,2.37,15.14,0.53,19.27,0,None,None,0.7,205.66,110.05,999.14,23.7,0
10670,25-05-2020 10:00,22.33,31.11,1.6,5.22,3.74,2.04,14.73,0.48,22.16,0,None,None,1.04,225.42,275.86,963.27,24.24,0.41
10671,25-05-2020 11:00,17.21,24.62,1.14,5.59,3.55,1.49,14.48,0.4,27.68,0,None,None,0.61,242.92,492.36,997.84,26.34,0
